Energy_keV,Sensitivity_erg_s-1_cm-2
1.61,1.12330722981666E-16
2.41,2.28807758283627E-16
3.21,3.44642599408578E-16
4.02,4.72757374230986E-16
4.82,6.15148857750567E-16
5.62,7.69406505688828E-16
6.42,9.34762755973358E-16
7.23,1.11038299901846E-15
8.03,1.29549912228507E-15
8.83,1.49049089413951E-15
9.64,1.6946442609613E-15
10.44,1.90740284774079E-15
11.24,2.13496882369194E-15
12.05,2.55549013693612E-15
12.85,2.87235503333932E-15
13.65,3.27285421420293E-15
14.45,3.66456567377421E-15
15.26,3.92821078402287E-15
16.06,4.21246156616988E-15
16.86,4.51162232361259E-15
17.67,4.8154242940449E-15
18.47,5.12406932664473E-15
19.27,5.44793184732754E-15
20.08,5.78045164625972E-15
20.88,6.30949984657537E-15
21.68,6.86500795661926E-15
22.48,7.44814196513629E-15
23.29,8.06287034849682E-15
24.09,8.70547134730121E-15
24.89,9.38207836664686E-15
25.70,1.00909363673626E-14
26.50,1.08333112358326E-14
27.30,1.16168803830888E-14
28.11,1.24321263722606E-14
28.91,1.33038235571009E-14
29.71,1.42164320266689E-14
30.52,1.51384509904341E-14
31.32,1.61839590594494E-14
32.12,1.73284183498801E-14
32.92,1.86306139739559E-14
33.73,2.02472984307377E-14
34.53,2.2367278675707E-14
35.33,2.4669411944797E-14
36.14,2.69115839970146E-14
36.94,2.93913219943326E-14
37.74,3.21097246949536E-14
38.55,3.50782483330909E-14
39.35,3.83150081430343E-14
40.15,4.18389479020568E-14
40.95,4.39913887102231E-14
41.76,4.51012071322033E-14
42.56,4.62167566151721E-14
43.36,4.7337842160066E-14
44.17,4.84642672176705E-14
44.97,4.95958357789128E-14
45.77,5.07327244446495E-14
46.58,5.18747910096381E-14
47.38,5.30218959997503E-14
48.18,5.41739039809003E-14
48.98,5.53311160489739E-14
49.79,5.64930097147543E-14
50.00,6.84385858816388E-15
56.50,4.11699416842699E-15
63.00,3.18887507876926E-15
69.50,2.7433884491691E-15
76.00,2.51938938500955E-15
82.50,2.43518219329355E-15
89.00,2.68431668766849E-15
95.50,3.08854759163297E-15
102.00,3.56593249778198E-15
108.50,4.12692216518924E-15
115.00,4.78134923563504E-15
121.50,5.54023944078641E-15
128.00,6.41743429080152E-15
134.50,7.42150831683233E-15
141.00,8.56476984731502E-15
147.50,9.86038736640393E-15
154.00,1.13156490740123E-14
160.50,1.29448311959325E-14
167.00,1.47507692722497E-14
173.50,1.67435178873294E-14
180.00,1.89329093615298E-14
186.50,2.13177009275219E-14
193.00,2.39093060798946E-14
199.50,2.67086993629316E-14
206.00,2.9722783835065E-14
212.50,3.2964238562809E-14
219.00,3.64227695944486E-14
225.50,4.01171642600729E-14
232.00,4.40536142382583E-14
238.50,4.82435284452402E-14
245.00,5.26880726748433E-14
251.50,5.73876602146097E-14
258.00,6.234296286242E-14
264.50,6.75900369392419E-14
271.00,7.31461056828405E-14
277.50,7.89694509554919E-14
284.00,8.51518046431406E-14
290.50,9.16101587914986E-14
297.00,9.84658565932128E-14
303.50,1.05616830450187E-13
310.00,1.13163802472794E-13
316.50,1.21105260591178E-13
323.00,1.2943972810027E-13
329.50,1.38168522473543E-13
336.00,1.4736600133891E-13
342.50,1.57048088536915E-13
349.00,1.67221608599089E-13
355.50,1.7789570541543E-13
362.00,1.89069681208509E-13
368.50,2.0088965874403E-13
375.00,2.13389069102161E-13
381.50,2.26436886814998E-13
388.00,2.40209237744024E-13
394.50,2.54740650192658E-13
401.00,2.70066462878234E-13
407.50,2.86227905124629E-13
414.00,3.03265106508497E-13
420.50,3.21220202496133E-13
427.00,3.40416841918447E-13
433.50,3.60363595279654E-13
440.00,3.81698025550804E-13
446.50,4.04545630170611E-13
453.00,4.28670484208652E-13
459.50,4.54147899644002E-13
466.00,4.81316703801599E-13
472.50,5.10368139733385E-13
479.00,5.41373617286657E-13
485.50,5.74505961885586E-13
492.00,6.10015369227838E-13
498.50,6.48194013058772E-13
505.00,6.89250527062016E-13
511.50,7.33491192607892E-13
518.00,7.81338507154853E-13
524.50,8.3321472388143E-13
531.00,8.89605298737345E-13
537.50,9.51079832937672E-13
544.00,1.01842352883753E-12
550.50,1.09234940972045E-12
557.00,1.17382259977424E-12
563.50,1.26414172841173E-12
570.00,1.3649220543511E-12
576.50,1.47767276789977E-12
583.00,1.60479214233162E-12
589.50,1.74912062074942E-12
596.00,1.91453329261917E-12
602.50,2.10565774314171E-12
609.00,2.32888295914405E-12
615.50,2.59319358631627E-12
622.00,2.91055131221475E-12
628.50,3.29895182187464E-12
635.00,3.78447959885649E-12
641.50,4.40911618135592E-12
648.00,5.24212210837006E-12
654.50,6.40712674073376E-12
661.00,8.15359899364039E-12
667.50,1.10558216833602E-11
674.00,1.68294157188755E-11
680.50,3.38925208059906E-11
687.00,7.59293838499081E-11
693.50,1.93261937477483E-10
