Energy_keV,Sensitivity_erg_s-1_cm-2
1.61,1.12330722981666E-16
2.41,2.28807758283627E-16
3.21,3.44642599408578E-16
4.02,4.72757374230986E-16
4.82,6.15148857750567E-16
5.62,7.69406505688828E-16
6.42,9.34762755973358E-16
7.23,1.11038299901846E-15
8.03,1.29549912228507E-15
8.83,1.49049089413951E-15
9.64,1.6946442609613E-15
10.44,1.90740284774079E-15
11.24,2.13496882369194E-15
12.05,2.55549013693612E-15
12.85,2.87235503333932E-15
13.65,3.27285421420293E-15
14.45,3.66456567377421E-15
15.26,3.92821078402287E-15
16.06,4.21246156616988E-15
16.86,4.51162232361259E-15
17.67,4.8154242940449E-15
18.47,5.12406932664473E-15
19.27,5.44793184732754E-15
20.08,5.78045164625972E-15
20.88,6.30949984657537E-15
21.68,6.86500795661926E-15
22.48,7.44814196513629E-15
23.29,8.06287034849682E-15
24.09,8.70547134730121E-15
24.89,9.38207836664686E-15
25.7,1.00909363673626E-14
26.5,1.08333112358326E-14
27.3,1.16168803830888E-14
28.11,1.24321263722606E-14
28.91,1.33038235571009E-14
29.71,1.42164320266689E-14
30.52,1.51384509904341E-14
31.32,1.61839590594494E-14
32.12,1.73284183498801E-14
32.92,1.86306139739559E-14
33.73,2.02472984307377E-14
34.53,2.2367278675707E-14
35.33,2.4669411944797E-14
36.14,2.69115839970146E-14
36.94,2.93913219943326E-14
37.74,3.21097246949536E-14
38.55,3.50782483330909E-14
39.35,3.83150081430343E-14
40.15,4.18389479020568E-14
40.95,4.39913887102231E-14
41.76,4.51012071322033E-14
42.56,4.62167566151721E-14
43.36,4.7337842160066E-14
44.17,4.84642672176705E-14
44.97,4.95958357789128E-14
45.77,5.07327244446495E-14
46.58,5.18747910096381E-14
47.38,5.30218959997503E-14
48.18,5.41739039809003E-14
48.98,5.53311160489739E-14
49.79,5.64930097147543E-14
50,7.69195998279017E-15
56.5,4.54172368685242E-15
63,3.45641533134361E-15
69.5,2.93214603115363E-15
76,2.64028298414951E-15
82.5,2.48980782964097E-15
89,2.6518615431189E-15
95.5,2.92543080252654E-15
102,3.23243321289427E-15
108.5,3.57489509062493E-15
115,3.97620547511623E-15
121.5,4.41948052572415E-15
128,4.95270287078379E-15
134.5,5.54190632059644E-15
141,6.25355793795452E-15
147.5,7.02722582637999E-15
154,7.96580206598237E-15
160.5,8.94959051173502E-15
167,1.01428110280609E-14
173.5,1.14105647713821E-14
180,1.2920484637512E-14
186.5,1.44703336317387E-14
193,1.62944421383309E-14
199.5,1.81965028243895E-14
206,2.03429836521515E-14
212.5,2.25549572831845E-14
219,2.51739908213818E-14
225.5,2.79411667381088E-14
232,3.10845104054453E-14
238.5,3.41158618746857E-14
245,3.79639094648965E-14
251.5,4.16023318785388E-14
258,4.58125917642947E-14
264.5,5.03605146995439E-14
271,5.52671870019227E-14
277.5,6.01817921128694E-14
284,6.61431974009129E-14
290.5,7.18417364442331E-14
297,7.8263529050092E-14
303.5,8.49791006428276E-14
310,9.29571874194219E-14
316.5,1.0039782266561E-13
323,1.08963759886209E-13
329.5,1.17679803885103E-13
336,1.27477209910669E-13
342.5,1.38019656371633E-13
349,1.49792108685374E-13
355.5,1.60769406303573E-13
362,1.74756672404624E-13
368.5,1.87596913371149E-13
375,2.02544227587904E-13
381.5,2.17695515716582E-13
388,2.34997090240173E-13
394.5,2.50459530684683E-13
401,2.72055568427281E-13
407.5,2.91578789297264E-13
414,3.15012155596814E-13
420.5,3.35964699068974E-13
427,3.63636503982848E-13
433.5,3.9045052353428E-13
440,4.19151495816715E-13
446.5,4.48522851107831E-13
453,4.81611199810707E-13
459.5,5.20077424143156E-13
466,5.57233256196165E-13
472.5,5.96622503820867E-13
479,6.42350155556307E-13
485.5,6.87722037508511E-13
492,7.421736921326E-13
498.5,7.97777055838656E-13
505,8.58586903682118E-13
511.5,9.31520078936321E-13
518,1.00341181552046E-12
524.5,1.07034508403449E-12
531,1.16707482393495E-12
537.5,1.25972595544438E-12
544,1.36235380766969E-12
550.5,1.48221031446176E-12
557,1.61733678370942E-12
563.5,1.77055533822557E-12
570,1.92209819578942E-12
576.5,2.10145533746303E-12
583,2.30535050021829E-12
589.5,2.54850289823112E-12
596,2.8192267884527E-12
602.5,3.12184247042739E-12
609,3.49066654740552E-12
615.5,3.92238127448522E-12
622,4.46912225773986E-12
628.5,5.11162019073405E-12
635,5.94526398166793E-12
641.5,6.91919345338264E-12
648,8.39146911693255E-12
654.5,1.0300075915996E-11
661,1.33268659745257E-11
667.5,1.81460278324025E-11
674,2.78490200320887E-11
680.5,5.67114708317256E-11
687,1.29040313846815E-10
693.5,3.30174376528048E-10
