Energy_keV,Area_cm2,det_Eff
1.61,666.74,1
2.41,601.34,1
3.21,614.65,1
4.02,626.22,1
4.82,632.64,1
5.62,637.38,1
6.42,640.98,1
7.23,643.87,1
8.03,646.35,1
8.83,648.14,1
9.64,649.53,1
10.44,650.7,1
11.24,649.69,1
12.05,601.96,1
12.85,590,1
13.65,567.09,1
14.45,551.82,1
15.26,558.27,1
16.06,562.23,1
16.86,564.81,1
17.67,567.42,1
18.47,570.01,0.999999999999979
19.27,571.47,0.999999999999317
20.08,573.34,0.999999999986091
20.88,574.63,0.99999999981497
21.68,575.81,0.999999998266113
22.48,576.84,0.999999987961428
23.29,577.48,0.999999932453528
24.09,578.06,0.999999704648599
24.89,578.25,0.999998902801012
25.7,578.23,0.999996448533709
26.5,578.01,0.999990127229058
27.3,577.24,0.999999999999997
28.11,576.5,0.99999999999997
28.91,574.72,0.99999999999973
29.71,572.75,0.999999999998023
30.52,571.84,0.999999999987554
31.32,567.78,0.999999999934985
32.12,562.03,1
32.92,553.25,1
33.73,538.03,1
34.53,514.07,0.999999999999999
35.33,486.83,0.999999999999992
36.14,459.34,0.999999999999948
36.94,432.64,0.999999999999713
37.74,407.11,0.999999999998596
38.55,382.86,0.999999999993846
39.35,359.92,0.999999999975889
40.15,338.26,0.999999999914463
40.95,330,0.999999999718329
41.76,330,0.99999999913908
42.56,330,0.999999997587615
43.36,330,0.999999993647199
44.17,330,0.999999984276902
44.97,330,0.999999962971946
45.77,330,0.999999918044548
46.58,330,0.999999827398437
47.38,330,0.999999649783744
48.18,330,0.999999323812208
48.98,330,0.9999987421668
49.79,330,0.999997745742709
50,3500,0.889740231184383
56.5,6800,0.906415202093503
63,10100,0.921811869968868
69.5,13400,0.931444110594755
76,16700,0.940657289399234
82.5,20000,0.94641320326615
89,19785,0.952284960642241
95.5,19570,0.954788829306924
102,19355,0.950254550225091
108.5,19140,0.940205110638821
115,18925,0.921106005050907
121.5,18710,0.899917400954916
128,18495,0.869621848528464
134.5,18280,0.839791786734475
141,18065,0.802727634827505
147.5,17850,0.769304715368624
154,17635,0.72959948051318
160.5,17420,0.697118950285546
167,17205,0.658880132182582
173.5,16990,0.626231492176313
180,16775,0.589937228346783
186.5,16560,0.560880464442419
193,16345,0.529089079944938
199.5,16130,0.502321299213553
206,15915,0.475445027744601
212.5,15700,0.453065993281711
219,15485,0.427965886895176
225.5,15270,0.405981078162652
232,15055,0.383618886682023
238.5,14840,0.367234607292069
245,14625,0.346044512225763
251.5,14410,0.331057147094665
258,14195,0.314798705456611
264.5,13980,0.299649651083373
271,13765,0.285523115170051
277.5,13550,0.274121216856313
284,13335,0.260483739586999
290.5,13120,0.250482601716654
297,12905,0.240012775548785
303.5,12690,0.230687284833236
310,12475,0.219953374998771
316.5,12260,0.212456324876289
323,12045,0.204133158513669
329.5,11830,0.197104214023533
336,11615,0.189695534375533
342.5,11400,0.182645240978613
349,11185,0.175411296360254
355.5,10970,0.17040065516577
362,10755,0.163385537544989
368.5,10540,0.158691594748334
375,10325,0.153234520527364
381.5,10110,0.148665678922611
388,9895,0.143612875849328
394.5,9680,0.140573798691605
401,9465,0.134981326495034
407.5,9250,0.131427109106994
414,9035,0.126960413400583
420.5,8820,0.124304641308827
427,8605,0.11992936248273
433.5,8390,0.116697347443842
440,8175,0.113623625298936
446.5,7960,0.111040727578741
453,7745,0.10819013417762
459.5,7530,0.104866506785919
466,7315,0.102516289097559
472.5,7100,0.100355018491805
479,6885,0.0977578925466227
485.5,6670,0.0958426638377988
492,6455,0.0932912808500955
498.5,6240,0.0912547923299485
505,6025,0.0892425825250741
511.5,5810,0.0866608233502324
518,5595,0.0848679627045188
524.5,5380,0.084044950777866
531,5165,0.0815235794988721
537.5,4950,0.0800152845494386
544,4735,0.0785182033503244
550.5,4520,0.0767306962100956
557,4305,0.0749216730743942
563.5,4090,0.0730868526157065
570,3875,0.0720910270910739
576.5,3660,0.0708111832327457
583,3445,0.0695480803865912
589.5,3230,0.0680386975764378
596,3015,0.0668043583430001
602.5,2800,0.0658535936107332
609,2585,0.0646598778765035
615.5,2370,0.0636069681022169
622,2155,0.0622100616035038
628.5,1940,0.0612144173921667
635,1725,0.0599613146908039
641.5,1510,0.0596200314914195
648,1295,0.0580513659789332
654.5,1080,0.0574288537243499
661,865,0.0561110426254556
667.5,650,0.0555223130038094
674,435,0.0547236573198049
680.5,220,0.0537821862106075
687,100,0.0526269891658277
693.5,40,0.0520357119005242
