Energy (keV),Compton Electrons Counts,Photoelectrons Counts
0.5,0,0
1.5,0,0
2.5,0,0
3.5,0,0
4.5,13,0
5.5,5,0
6.5,3,0
7.5,4,0
8.5,3,0
9.5,8,0
10.5,8,0
11.5,6,0
12.5,7,0
13.5,11,0
14.5,6,0
15.5,9,0
16.5,8,0
17.5,12,0
18.5,14,0
19.5,7,0
20.5,7,0
21.5,10,0
22.5,12,0
23.5,11,0
24.5,12,0
25.5,12,0
26.5,9,0
27.5,9,0
28.5,8,0
29.5,4,0
30.5,10,0
31.5,14,0
32.5,10,0
33.5,12,0
34.5,13,0
35.5,11,0
36.5,16,2
37.5,14,0
38.5,18,0
39.5,9,0
40.5,11,3
41.5,18,0
42.5,17,0
43.5,19,1
44.5,20,1
45.5,10,0
46.5,16,1
47.5,16,1
48.5,24,0
49.5,12,3
50.5,13,1
51.5,21,0
52.5,18,0
53.5,24,1
54.5,19,1
55.5,26,1
56.5,25,4
57.5,25,0
58.5,33,1
59.5,17,3
60.5,24,4
61.5,18,1
62.5,31,1
63.5,24,2
64.5,27,4
65.5,25,1
66.5,24,1
67.5,19,3
68.5,18,7
69.5,30,2
70.5,30,1
71.5,22,4
72.5,26,4
73.5,18,5
74.5,25,4
75.5,32,4
76.5,32,1
77.5,31,1
78.5,27,3
79.5,29,0
80.5,27,5
81.5,25,5
82.5,39,1
83.5,27,3
84.5,26,3
85.5,28,2
86.5,30,3
87.5,20,6
88.5,28,4
89.5,21,2
90.5,26,5
91.5,18,1
92.5,24,4
93.5,20,7
94.5,16,7
95.5,18,3
96.5,21,5
97.5,15,2
98.5,15,4
99.5,12,4
100.5,11,3
101.5,18,4
102.5,8,5
103.5,7,4
104.5,6,2
105.5,13,3
106.5,5,4
107.5,9,5
108.5,9,5
109.5,2,6
110.5,1,5
111.5,1,4
112.5,2,4
113.5,1,3
114.5,0,3
115.5,1,9
116.5,3,12
117.5,0,7
118.5,1,9
119.5,0,17
120.5,1,12
121.5,0,17
122.5,0,22
123.5,0,27
124.5,0,21
125.5,0,21
126.5,0,21
127.5,0,30
128.5,0,16
129.5,0,32
130.5,1,29
131.5,0,27
132.5,0,22
133.5,0,24
134.5,0,24
135.5,0,21
136.5,0,28
137.5,0,27
138.5,0,18
139.5,0,23
140.5,0,18
141.5,1,28
142.5,1,31
143.5,0,30
144.5,0,17
145.5,0,33
146.5,0,28
147.5,0,33
148.5,0,19
149.5,0,29
150.5,0,23
151.5,0,24
152.5,0,31
153.5,0,25
154.5,1,20
155.5,0,20
156.5,0,13
157.5,0,21
158.5,0,26
159.5,0,27
160.5,0,27
161.5,0,22
162.5,1,35
163.5,0,18
164.5,0,24
165.5,0,23
166.5,0,20
167.5,0,16
168.5,0,17
169.5,0,8
170.5,0,22
171.5,0,14
172.5,0,17
173.5,0,12
174.5,0,14
175.5,0,15
176.5,0,10
177.5,0,21
178.5,0,24
179.5,0,13
180.5,0,17
181.5,0,9
182.5,0,11
183.5,0,16
184.5,0,5
185.5,0,7
186.5,0,9
187.5,0,6
188.5,0,8
189.5,0,12
190.5,0,9
191.5,0,10
192.5,0,11
193.5,0,9
194.5,0,10
195.5,0,8
196.5,0,4
197.5,0,5
198.5,0,6
199.5,0,3
200.5,0,5
201.5,0,0
202.5,0,2
203.5,0,1
204.5,0,3
205.5,0,2
206.5,0,1
207.5,0,2
208.5,0,1
209.5,0,2
210.5,0,1
211.5,0,0
212.5,0,0
213.5,0,0
214.5,0,1
215.5,0,1
216.5,0,0
217.5,0,0
218.5,0,0
219.5,0,1
220.5,0,0
221.5,0,0
222.5,0,0
223.5,0,1
224.5,0,0
225.5,0,0
226.5,0,0
227.5,0,0
228.5,0,1
229.5,0,0
230.5,0,0
231.5,0,0
232.5,0,0
233.5,0,0
234.5,0,0
235.5,0,1
236.5,0,1
237.5,0,0
238.5,0,0
239.5,0,0
240.5,0,0
241.5,0,1
242.5,0,0
243.5,0,0
244.5,0,0
245.5,0,0
246.5,0,0
247.5,0,0
248.5,0,0
