Energy (keV),Compton Electrons Counts,Photoelectrons Counts
0.5,831,0
1.5,1046,0
2.5,1089,0
3.5,1158,0
4.5,995,0
5.5,990,0
6.5,963,1
7.5,874,0
8.5,884,1
9.5,807,2
10.5,777,1
11.5,555,2
12.5,369,3
13.5,269,5
14.5,238,5
15.5,179,5
16.5,176,8
17.5,150,4
18.5,156,11
19.5,152,9
20.5,133,6
21.5,123,13
22.5,503,15
23.5,1024,14
24.5,122,11
25.5,224,15
26.5,374,17
27.5,454,20
28.5,104,18
29.5,113,13
30.5,147,22
31.5,144,29
32.5,100,17
33.5,92,28
34.5,93,25
35.5,89,17
36.5,105,40
37.5,115,29
38.5,93,21
39.5,99,40
40.5,87,34
41.5,94,40
42.5,89,38
43.5,93,46
44.5,69,46
45.5,89,34
46.5,82,36
47.5,68,39
48.5,59,34
49.5,57,47
50.5,56,41
51.5,53,44
52.5,60,55
53.5,60,41
54.5,52,36
55.5,37,30
56.5,43,47
57.5,37,47
58.5,47,43
59.5,35,43
60.5,24,52
61.5,31,42
62.5,22,32
63.5,22,51
64.5,16,43
65.5,29,41
66.5,24,45
67.5,26,34
68.5,33,36
69.5,28,45
70.5,19,39
71.5,33,42
72.5,26,42
73.5,29,53
74.5,26,52
75.5,40,42
76.5,19,46
77.5,35,43
78.5,27,49
79.5,38,50
80.5,55,42
81.5,55,45
82.5,49,50
83.5,50,51
84.5,52,45
85.5,52,47
86.5,37,52
87.5,37,50
88.5,44,35
89.5,45,63
90.5,52,69
91.5,57,61
92.5,37,67
93.5,44,73
94.5,59,65
95.5,46,84
96.5,45,63
97.5,49,61
98.5,38,81
99.5,37,75
100.5,42,96
101.5,56,69
102.5,44,90
103.5,44,77
104.5,50,86
105.5,45,100
106.5,44,71
107.5,41,63
108.5,51,74
109.5,50,82
110.5,43,73
111.5,35,75
112.5,50,94
113.5,31,83
114.5,38,81
115.5,45,86
116.5,41,75
117.5,39,96
118.5,40,62
119.5,29,66
120.5,35,83
121.5,32,68
122.5,34,81
123.5,40,82
124.5,46,85
125.5,29,91
126.5,34,105
127.5,42,83
128.5,33,75
129.5,35,100
130.5,24,101
131.5,29,88
132.5,30,95
133.5,22,103
134.5,26,87
135.5,24,111
136.5,13,107
137.5,26,107
138.5,9,126
139.5,1,133
140.5,6,122
141.5,3,115
142.5,3,142
143.5,3,139
144.5,1,106
145.5,0,134
146.5,0,146
147.5,0,138
148.5,1,131
149.5,10,150
150.5,11,146
151.5,25,139
152.5,22,111
153.5,26,140
154.5,20,118
155.5,22,139
156.5,21,144
157.5,21,162
158.5,16,148
159.5,22,164
160.5,18,160
161.5,15,138
162.5,6,153
163.5,1,120
164.5,2,127
165.5,0,76
166.5,0,92
167.5,0,84
168.5,1,77
169.5,0,64
170.5,1,63
171.5,0,61
172.5,0,72
173.5,0,76
174.5,0,57
175.5,0,49
176.5,0,65
177.5,0,54
178.5,0,66
179.5,0,48
180.5,0,54
181.5,0,54
182.5,0,52
183.5,0,51
184.5,0,49
185.5,0,50
186.5,0,59
187.5,0,50
188.5,0,50
189.5,0,59
190.5,0,51
191.5,0,54
192.5,0,51
193.5,0,52
194.5,1,54
195.5,0,60
196.5,0,48
197.5,0,47
198.5,0,47
199.5,0,49
200.5,1,44
201.5,0,39
202.5,0,44
203.5,0,51
204.5,0,53
205.5,0,55
206.5,0,45
207.5,0,46
208.5,0,37
209.5,0,32
210.5,1,39
211.5,0,45
212.5,0,36
213.5,0,32
214.5,0,35
215.5,0,33
216.5,0,40
217.5,0,47
218.5,0,45
219.5,1,31
220.5,1,27
221.5,1,25
222.5,0,21
223.5,0,14
224.5,0,16
225.5,0,22
226.5,0,21
227.5,0,17
228.5,0,11
229.5,0,7
230.5,0,14
231.5,0,15
232.5,0,19
233.5,0,16
234.5,0,14
235.5,0,14
236.5,0,19
237.5,0,18
238.5,0,13
239.5,0,13
240.5,0,10
241.5,0,14
242.5,0,14
243.5,0,22
244.5,0,21
245.5,0,17
246.5,0,16
247.5,0,19
248.5,0,21
249.5,0,14
250.5,0,21
251.5,0,20
252.5,0,17
253.5,0,23
254.5,0,27
255.5,0,15
256.5,0,18
257.5,0,11
258.5,0,14
259.5,0,16
260.5,0,13
261.5,0,16
262.5,0,19
263.5,0,22
264.5,0,21
265.5,0,26
266.5,0,36
267.5,0,36
268.5,0,44
269.5,0,53
270.5,0,85
271.5,0,124
272.5,0,143
273.5,0,190
274.5,0,228
275.5,0,269
276.5,0,261
277.5,0,238
278.5,0,209
279.5,0,111
280.5,0,78
281.5,0,58
282.5,0,36
283.5,0,58
284.5,0,68
285.5,0,85
286.5,0,142
287.5,0,176
288.5,0,284
289.5,0,299
290.5,0,375
291.5,0,402
292.5,0,404
293.5,0,435
294.5,0,431
295.5,0,430
296.5,0,400
297.5,0,369
298.5,0,305
