Distance (mm),Radius Counts
0.0275,3
0.0825,40
0.1375,86
0.1925,102
0.2475,148
0.3025,201
0.35750000000000004,231
0.4125,274
0.4675,346
0.5225,362
0.5775,426
0.6325000000000001,428
0.6875,442
0.7424999999999999,490
0.7975,477
0.8525,532
0.9075,620
0.9625,630
1.0175,643
1.0725,701
1.1275,695
1.1825,735
1.2374999999999998,713
1.2925,767
1.3475000000000001,790
1.4024999999999999,852
1.4575,874
1.5125000000000002,863
1.5675,910
1.6225,880
1.6775,945
1.7325,918
1.7875,940
1.8425,918
1.8975,1029
1.9525000000000001,976
2.0075000000000003,381
2.0625,0
2.1174999999999997,0
