Distance (mm),Radius Counts
0.0275,0
0.0825,0
0.1375,0
0.1925,0
0.2475,0
0.3025,0
0.35750000000000004,0
0.4125,0
0.4675,0
0.5225,0
0.5775,0
0.6325000000000001,0
0.6875,0
0.7424999999999999,0
0.7975,0
0.8525,0
0.9075,0
0.9625,0
1.0175,0
1.0725,0
1.1275,0
1.1825,0
1.2374999999999998,0
1.2925,0
1.3475000000000001,0
1.4024999999999999,0
1.4575,0
1.5125000000000002,0
1.5675,0
1.6225,0
1.6775,0
1.7325,0
1.7875,0
1.8425,0
1.8975,0
1.9525000000000001,0
2.0075000000000003,0
2.0625,0
2.1174999999999997,0
2.1725000000000003,0
2.2275,0
2.2824999999999998,0
2.3375000000000004,0
2.3925,0
2.4475,0
2.5025,0
2.5575,0
2.6125,0
2.6675,0
2.7225,0
2.7775,0
2.8325,0
2.8875,0
2.9425,0
2.9975,0
3.0525,0
3.1075,0
3.1625,0
3.2175000000000002,0
3.2725,0
3.3274999999999997,0
3.3825000000000003,0
3.4375,0
3.4924999999999997,0
3.5475000000000003,0
3.6025,0
3.6574999999999998,0
3.7125000000000004,0
3.7675,0
3.8225,0
3.8775,0
3.9325,0
3.9875,0
4.0425,0
4.0975,0
4.1525,0
4.2075,0
4.2625,0
4.3175,0
4.3725000000000005,0
4.4275,0
4.4825,0
4.5375,0
4.5925,0
4.6475,0
4.702500000000001,0
4.7575,0
4.8125,0
4.8675,0
4.9225,0
4.9775,0
5.0325,0
5.0875,0
5.1425,0
5.1975,0
5.2524999999999995,0
5.3075,0
5.3625,0
5.4175,0
5.4725,0
5.5275,0
5.5825,0
5.6375,0
5.6925,0
5.7475000000000005,0
5.8025,0
5.8575,0
5.9125,0
5.9675,0
6.0225,0
6.077500000000001,0
6.1325,0
6.1875,0
6.2425,0
6.2975,0
6.3525,0
6.4075,0
6.4625,0
6.5175,0
6.5725,0
6.6274999999999995,0
6.6825,0
6.7375,0
6.7925,0
6.8475,0
6.9025,0
6.9575,0
7.0125,0
7.0675,0
7.1225000000000005,0
7.1775,0
7.2325,0
7.2875,0
7.3425,0
7.3975,0
7.452500000000001,0
7.5075,0
7.5625,0
7.6175,0
7.6725,0
7.7275,0
7.7825,0
7.8375,0
7.8925,0
7.9475,0
8.0025,0
8.057500000000001,0
8.1125,0
8.1675,0
8.2225,0
8.2775,0
8.3325,0
8.3875,0
8.4425,0
8.4975,0
8.5525,0
8.6075,0
8.6625,0
8.7175,0
8.7725,0
8.8275,0
8.8825,0
8.9375,0
8.9925,0
9.0475,0
9.1025,0
9.1575,0
9.2125,0
9.2675,0
9.3225,0
9.3775,0
9.432500000000001,0
9.4875,0
9.5425,0
9.5975,0
9.6525,0
9.7075,0
9.7625,0
9.8175,0
9.8725,0
9.9275,0
9.9825,0
10.0375,0
10.0925,0
10.1475,0
10.2025,0
10.2575,0
10.3125,0
10.3675,0
10.4225,0
10.4775,0
10.5325,0
10.5875,0
10.6425,0
10.6975,0
10.7525,0
10.807500000000001,0
10.8625,0
10.9175,0
10.9725,0
11.0275,0
11.0825,0
11.1375,0
11.1925,0
11.2475,0
11.3025,0
11.3575,0
11.4125,0
11.4675,0
11.5225,0
11.5775,0
11.6325,0
11.6875,0
11.7425,0
11.7975,0
11.8525,0
11.9075,0
11.9625,0
12.0175,0
12.0725,0
12.1275,0
12.182500000000001,0
12.2375,0
12.2925,0
12.3475,0
12.4025,0
12.4575,0
12.5125,0
12.5675,0
12.6225,0
12.6775,0
12.7325,0
12.7875,0
12.8425,0
12.8975,0
12.9525,0
13.0075,0
13.0625,0
13.1175,0
13.1725,0
13.2275,0
13.2825,0
13.3375,0
13.3925,0
13.4475,0
