energy,ergs-1cm-2
50,6.85496529641161E-15
56.5,4.20851024358579E-15
63,3.32595949492884E-15
69.5,2.91236446490957E-15
76,2.70563079523906E-15
82.5,2.62075640222886E-15
89,2.87880351259862E-15
95.5,3.25916053957008E-15
102,3.70659943404396E-15
108.5,4.29772826655215E-15
115,4.97965693291183E-15
121.5,5.77232412704142E-15
128,6.70185735728524E-15
134.5,7.80240710418725E-15
141,9.11908685881678E-15
147.5,1.07123527044998E-14
154,1.22972465283644E-14
160.5,1.38875540362363E-14
167,1.56989439077211E-14
173.5,1.7770225005968E-14
180,2.01488484843598E-14
186.5,2.28947045956996E-14
193,2.60879071963413E-14
199.5,2.98303745516394E-14
206,3.28892824410294E-14
212.5,3.61422703869526E-14
219,3.97239559781227E-14
225.5,4.3678316707759E-14
232,4.80584968252971E-14
238.5,5.29282009069025E-14
245,5.83650387082951E-14
251.5,6.40969737202149E-14
258,6.91139233803324E-14
264.5,7.45270824258728E-14
271,8.03764263941068E-14
277.5,8.67099118224615E-14
284,9.35792701498678E-14
290.5,1.01046363108278E-13
297,1.09179504519237E-13
303.5,1.17118202114941E-13
310,1.2480491449738E-13
316.5,1.33010575215104E-13
323,1.41779562546928E-13
329.5,1.51161883052064E-13
336,1.61210385199714E-13
342.5,1.7198738666118E-13
349,1.83557587928565E-13
355.5,1.94677863254851E-13
362,2.06263570357052E-13
368.5,2.18588854152943E-13
375,2.31716122743447E-13
381.5,2.4570867080525E-13
388,2.60640710446299E-13
394.5,2.76591923250814E-13
