energy,ergs-1cm-2
1.61,1.12330722981666E-16
2.41,2.28807758283627E-16
3.21,3.44642599408578E-16
4.02,4.73429285588363E-16
4.82,6.16078505840715E-16
5.62,7.70638533218269E-16
6.42,9.36343719283891E-16
7.23,1.11236222326838E-15
8.03,1.29792498518333E-15
8.83,1.49341614541386E-15
9.64,1.69812477133813E-15
10.44,1.91198501159636E-15
11.24,2.14129400919605E-15
12.05,2.56451269525852E-15
12.85,2.88410949557895E-15
13.65,3.2880877769094E-15
14.45,3.68368516011584E-15
15.26,3.95094706996623E-15
16.06,4.23921952823017E-15
16.86,4.54282865740089E-15
17.67,4.85148874748608E-15
18.47,5.16534583236783E-15
19.27,5.49490443346828E-15
20.08,5.83361146466639E-15
20.88,6.37110813430539E-15
21.68,6.93594270841549E-15
22.48,7.52933946562284E-15
23.29,8.15541708616109E-15
24.09,8.81035174089047E-15
24.89,9.50045083213206E-15
25.70,1.02240547663853E-14
26.50,1.09823340385753E-14
27.30,1.17834303391089E-14
28.11,1.26175521299411E-14
28.91,1.35098536198787E-14
29.71,1.44447221328821E-14
30.52,1.53788139854031E-14
31.32,1.64312736229096E-14
32.12,1.7582913317587E-14
32.92,1.88931613580354E-14
33.73,2.05204756473215E-14
34.53,2.26558135057651E-14
35.33,2.49730505924875E-14
36.14,2.72267123423955E-14
36.94,2.97181322366923E-14
37.74,3.2447840124985E-14
38.55,3.54267387521113E-14
39.35,3.86731543292132E-14
40.15,4.22055175959022E-14
40.95,4.43510606315558E-14
41.76,4.54432716924414E-14
42.56,4.65403207605269E-14
43.36,4.76416833906704E-14
44.17,4.87468029408819E-14
44.97,4.98561704307783E-14
45.77,5.09696100501218E-14
46.58,5.20865957224801E-14
47.38,5.32077201830174E-14
48.18,5.43324699079621E-14
48.98,5.54611324124559E-14
49.79,5.65927620433023E-14
50.59,5.78582042467888E-14
51.39,5.91808581375873E-14
52.20,6.05163959194848E-14
53.00,6.18615765141886E-14
53.80,6.32177894665979E-14
54.61,6.45881407625199E-14
55.41,6.59682247014119E-14
56.21,6.73601764552169E-14
57.02,6.87663992295669E-14
57.82,7.01833478118017E-14
58.62,7.1612446008479E-14
59.42,7.30552328277434E-14
60.23,7.45147446042547E-14
61.03,7.81647919348402E-14
61.83,8.20476291013135E-14
62.64,8.61868045030088E-14
63.44,9.06034148586436E-14
64.24,9.53268531867693E-14
65.05,1.00396019711989E-13
65.85,1.05839047540676E-13
66.65,1.11702942740774E-13
67.45,1.17654002292841E-13
68.26,1.24512158822665E-13
69.06,1.319595629886E-13
69.86,1.40077214477863E-13
70.67,1.4897244580452E-13
71.47,1.58733163441537E-13
72.27,1.69496132180446E-13
73.08,1.81434835417103E-13
73.88,1.94710986056807E-13
74.68,2.0957042986862E-13
75.48,2.26298694365269E-13
76.29,2.45274791438513E-13
77.09,2.6691145077841E-13
77.89,2.91826873369726E-13
78.70,3.20803719668675E-13
79.50,3.54793576759167E-13
80.30,3.95285074931048E-13
