Energy_keV,Area_cm2
50,3500
56.5,6800
63,10100
69.5,13400
76,16700
82.5,20000
89,19785
95.5,19570
102,19355
108.5,19140
115,18925
121.5,18710
128,18495
134.5,18280
141,18065
147.5,17850
154,17635
160.5,17420
167,17205
173.5,16990
180,16775
186.5,16560
193,16345
199.5,16130
206,15915
212.5,15700
219,15485
225.5,15270
232,15055
238.5,14840
245,14625
251.5,14410
258,14195
264.5,13980
271,13765
277.5,13550
284,13335
290.5,13120
297,12905
303.5,12690
310,12475
316.5,12260
323,12045
329.5,11830
336,11615
342.5,11400
349,11185
355.5,10970
362,10755
368.5,10540
375,10325
381.5,10110
388,9895
394.5,9680
401,9465
407.5,9250
414,9035
420.5,8820
427,8605
433.5,8390
440,8175
446.5,7960
453,7745
459.5,7530
