Energy_keV,Area_cm2
1.61,666.74
2.41,601.34
3.21,614.65
4.02,626.22
4.82,632.64
5.62,637.38
6.42,640.98
7.23,643.87
8.03,646.35
8.83,648.14
9.64,649.53
10.44,650.7
11.24,649.69
12.05,601.96
12.85,590
13.65,567.09
14.45,551.82
15.26,558.27
16.06,562.23
16.86,564.81
17.67,567.42
18.47,570.01
19.27,571.47
20.08,573.34
20.88,574.63
21.68,575.81
22.48,576.84
23.29,577.48
24.09,578.06
24.89,578.25
25.7,578.23
26.5,578.01
27.3,577.24
28.11,576.5
28.91,574.72
29.71,572.75
30.52,571.84
31.32,567.78
32.12,562.03
32.92,553.25
33.73,538.03
34.53,514.07
35.33,486.83
36.14,459.34
36.94,432.64
37.74,407.11
38.55,382.86
39.35,359.92
40.15,338.26
40.95,330
41.76,330
42.56,330
43.36,330
44.17,330
44.97,330
45.77,330
46.58,330
47.38,330
48.18,330
48.98,330
49.79,330
50.59,330.00
51.39,330.00
52.20,330.00
53.00,330.00
53.80,330.00
54.61,330.00
55.41,330.00
56.21,330.00
57.02,330.00
57.82,330.00
58.62,330.00
59.42,330.00
60.23,330.00
61.03,320.80
61.83,311.60
62.64,302.40
63.44,293.20
64.24,284.00
65.05,274.80
65.85,265.60
66.65,256.40
67.45,247.20
68.26,238.00
69.06,228.80
69.86,219.60
70.67,210.40
71.47,201.20
72.27,192.00
73.08,182.80
73.88,173.60
74.68,164.40
75.48,155.20
76.29,146.00
77.09,136.80
77.89,127.60
78.70,118.40
79.50,109.20
80.30,100.00
