Energy_keV,Area_cm2
1.61,666.74
2.41,601.34
3.21,614.65
4.02,626.22
4.82,632.64
5.62,637.38
6.42,640.98
7.23,643.87
8.03,646.35
8.83,648.14
9.64,649.53
10.44,650.7
11.24,649.69
12.05,601.96
12.85,590
13.65,567.09
14.45,551.82
15.26,558.27
16.06,562.23
16.86,564.81
17.67,567.42
18.47,570.01
19.27,571.47
20.08,573.34
20.88,574.63
21.68,575.81
22.48,576.84
23.29,577.48
24.09,578.06
24.89,578.25
25.7,578.23
26.5,578.01
27.3,577.24
28.11,576.5
28.91,574.72
29.71,572.75
30.52,571.84
31.32,567.78
32.12,562.03
32.92,553.25
33.73,538.03
34.53,514.07
35.33,486.83
36.14,459.34
36.94,432.64
37.74,407.11
38.55,382.86
39.35,359.92
40.15,338.26
40.95,330
41.76,330
42.56,330
43.36,330
44.17,330
44.97,330
45.77,330
46.58,330
47.38,330
48.18,330
48.98,330
49.79,330
50,3500
56.5,6800
63,10100
69.5,13400
76,16700
82.5,20000
89,19785
95.5,19570
102,19355
108.5,19140
115,18925
121.5,18710
128,18495
134.5,18280
141,18065
147.5,17850
154,17635
160.5,17420
167,17205
173.5,16990
180,16775
186.5,16560
193,16345
199.5,16130
206,15915
212.5,15700
219,15485
225.5,15270
232,15055
238.5,14840
245,14625
251.5,14410
258,14195
264.5,13980
271,13765
277.5,13550
284,13335
290.5,13120
297,12905
303.5,12690
310,12475
316.5,12260
323,12045
329.5,11830
336,11615
342.5,11400
349,11185
355.5,10970
362,10755
368.5,10540
375,10325
381.5,10110
388,9895
394.5,9680
401,9465
407.50,9250.00
414.00,9035.00
420.50,8820.00
427.00,8605.00
433.50,8390.00
440.00,8175.00
446.50,7960.00
453.00,7745.00
459.50,7530.00
