Energy_keV,Sensitivity_erg_s-1_cm-2
1.61,1.12330722981666E-16
2.41,2.28807758283627E-16
3.21,3.44642599408578E-16
4.02,4.72757374230986E-16
4.82,6.15148857750567E-16
5.62,7.69406505688828E-16
6.42,9.34762755973358E-16
7.23,1.11038299901846E-15
8.03,1.29549912228507E-15
8.83,1.49049089413951E-15
9.64,1.6946442609613E-15
10.44,1.90740284774079E-15
11.24,2.13496882369194E-15
12.05,2.55549013693612E-15
12.85,2.87235503333932E-15
13.65,3.27285421420293E-15
14.45,3.66456567377421E-15
15.26,3.92821078402287E-15
16.06,4.21246156616988E-15
16.86,4.51162232361259E-15
17.67,4.8154242940449E-15
18.47,5.12406932664473E-15
19.27,5.44793184732754E-15
20.08,5.78045164625972E-15
20.88,6.30949984657537E-15
21.68,6.86500795661926E-15
22.48,7.44814196513629E-15
23.29,8.06287034849682E-15
24.09,8.70547134730121E-15
24.89,9.38207836664686E-15
25.7,1.00909363673626E-14
26.5,1.08333112358326E-14
27.3,1.16168803830888E-14
28.11,1.24321263722606E-14
28.91,1.33038235571009E-14
29.71,1.42164320266689E-14
30.52,1.51384509904341E-14
31.32,1.61839590594494E-14
32.12,1.73284183498801E-14
32.92,1.86306139739559E-14
33.73,2.02472984307377E-14
34.53,2.2367278675707E-14
35.33,2.4669411944797E-14
36.14,2.69115839970146E-14
36.94,2.93913219943326E-14
37.74,3.21097246949536E-14
38.55,3.50782483330909E-14
39.35,3.83150081430343E-14
40.15,4.18389479020568E-14
40.95,4.39913887102231E-14
41.76,4.51012071322033E-14
42.56,4.62167566151721E-14
43.36,4.7337842160066E-14
44.17,4.84642672176705E-14
44.97,4.95958357789128E-14
45.77,5.07327244446495E-14
46.58,5.18747910096381E-14
47.38,5.30218959997503E-14
48.18,5.41739039809003E-14
48.98,5.53311160489739E-14
49.79,5.64930097147543E-14
50,7.69443040530499E-15
56.5,4.54279599102634E-15
63,3.45653189671539E-15
69.5,2.9312288954202E-15
76,2.63868967920485E-15
82.5,2.48898141119614E-15
89,2.64511580394025E-15
95.5,2.90707725260355E-15
102,3.18435981584502E-15
108.5,3.48006967270981E-15
115,3.79431726803429E-15
121.5,4.12885242906731E-15
128,4.49193642522824E-15
134.5,4.89022725488493E-15
141,5.33405073592473E-15
147.5,5.82717343475236E-15
154,6.39023133934764E-15
160.5,6.99882428536087E-15
167,7.71065680162194E-15
173.5,8.4656867463276E-15
180,9.33598183119177E-15
186.5,1.02373530033723E-14
193,1.12815535237391E-14
199.5,1.23618236982248E-14
206,1.35597326585192E-14
212.5,1.48153077048523E-14
219,1.62608298128308E-14
225.5,1.77367138412508E-14
232,1.93936536435457E-14
238.5,2.10530756589241E-14
245,2.29227557527636E-14
251.5,2.48672192272338E-14
258,2.70549024079749E-14
264.5,2.92331970967788E-14
271,3.16723655480014E-14
277.5,3.42410123483497E-14
284,3.69780635468822E-14
290.5,3.98037362365499E-14
297,4.29600251987229E-14
303.5,4.61178931701847E-14
310,4.96629784518721E-14
316.5,5.33639665357202E-14
323,5.73839481208648E-14
329.5,6.13783776453604E-14
336,6.60665845253892E-14
342.5,7.07248318325531E-14
349,7.61405210425524E-14
355.5,8.12014578577902E-14
362,8.69961122978626E-14
368.5,9.28513196109377E-14
375,9.97639732042848E-14
381.5,1.06175774970577E-13
388,1.13973270074917E-13
394.5,1.21215482904879E-13
401,1.29614443212448E-13
407.5,1.38399481777621E-13
414,1.48017724983865E-13
420.5,1.57437237041885E-13
427,1.687368385254E-13
433.5,1.79457440449358E-13
440,1.9279632649991E-13
446.5,2.04017904003306E-13
453,2.1912640145489E-13
459.5,2.34039067825008E-13
466,2.49622461283221E-13
472.5,2.67022669403048E-13
479,2.85498186249721E-13
485.5,3.06135938503567E-13
492,3.25666980114721E-13
498.5,3.4962737970124E-13
505,3.75814530716669E-13
511.5,4.01496753180946E-13
518,4.32737226223558E-13
524.5,4.64514711489515E-13
531,5.00357764308612E-13
537.5,5.36512824891894E-13
544,5.80000342772016E-13
550.5,6.27155495461464E-13
557,6.79942846628597E-13
563.5,7.36969458524142E-13
570,7.99830353602938E-13
576.5,8.74575560516792E-13
583,9.55326083595738E-13
589.5,1.04907353773754E-12
596,1.15417984736822E-12
602.5,1.28071822473584E-12
609,1.4284499784527E-12
615.5,1.60043835519576E-12
622,1.79748649218076E-12
628.5,2.05617837859504E-12
635,2.37416526088657E-12
641.5,2.79031988733296E-12
648,3.34196698875095E-12
654.5,4.10659262575594E-12
661,5.24924865894608E-12
667.5,7.18822110860291E-12
674,1.10025534253137E-11
680.5,2.22940385299214E-11
687,5.02510891532438E-11
693.5,1.27888550970175E-10
