Note:, File containing the PHEMTO sensitivity for the Laue Lenses. The energy is in [keV] and sensitivity in [erg cm^-2 s^-1]
version,2
energy,sensitivity
50,5.65927620433023e-14
50.0,6.85496529641161e-15
56.5,4.20851024358579e-15
63.0,3.32595949492884e-15
69.5,2.91236446490957e-15
76.0,2.70563079523906e-15
82.5,2.62075640222886e-15
89.0,2.87880351259862e-15
95.5,3.25916053957008e-15
102.0,3.70659943404396e-15
108.5,4.29772826655215e-15
115.0,4.97965693291183e-15
121.5,5.77232412704142e-15
128.0,6.70185735728524e-15
134.5,7.80240710418725e-15
141.0,9.11908685881678e-15
147.5,1.07123527044998e-14
154.0,1.22972465283644e-14
160.5,1.38875540362363e-14
167.0,1.56989439077211e-14
173.5,1.7770225005968e-14
180.0,2.01488484843598e-14
186.5,2.28947045956996e-14
193.0,2.60879071963413e-14
199.5,2.98303745516394e-14
206.0,3.28892824410294e-14
212.5,3.61422703869526e-14
219.0,3.97239559781227e-14
225.5,4.3678316707759e-14
232.0,4.80584968252971e-14
238.5,5.29282009069025e-14
245.0,5.83650387082951e-14
251.5,6.40969737202149e-14
258.0,6.91139233803324e-14
264.5,7.45270824258728e-14
271.0,8.03764263941068e-14
277.5,8.67099118224615e-14
284.0,9.35792701498678e-14
290.5,1.01046363108278e-13
297.0,1.09179504519237e-13
303.5,1.17118202114941e-13
310.0,1.2480491449738e-13
316.5,1.33010575215104e-13
323.0,1.41779562546928e-13
329.5,1.51161883052064e-13
336.0,1.61210385199714e-13
342.5,1.7198738666118e-13
349.0,1.83557587928565e-13
355.5,1.94677863254851e-13
362.0,2.06263570357052e-13
368.5,2.18588854152943e-13
375.0,2.31716122743447e-13
381.5,2.4570867080525e-13
388.0,2.60640710446299e-13
394.5,2.76591923250814e-13
