Note:, File containing the PHEMTO sensitivity for the x-ray Mirror. The energy is in [keV] and sensitivity in [erg cm^-2 s^-1]
version,2
energy,sensitivity
1.61,1.12330722981666e-16
2.41,2.28807758283627e-16
3.21,3.44642599408578e-16
4.02,4.73429285588363e-16
4.82,6.16078505840715e-16
5.62,7.70638533218269e-16
6.42,9.36343719283891e-16
7.23,1.11236222326838e-15
8.03,1.29792498518333e-15
8.83,1.49341614541386e-15
9.64,1.69812477133813e-15
10.44,1.91198501159636e-15
11.24,2.14129400919605e-15
12.05,2.56451269525852e-15
12.85,2.88410949557895e-15
13.65,3.2880877769094e-15
14.45,3.68368516011584e-15
15.26,3.95094706996623e-15
16.06,4.23921952823017e-15
16.86,4.54282865740089e-15
17.67,4.85148874748608e-15
18.47,5.16534583236783e-15
19.27,5.49490443346828e-15
20.08,5.83361146466639e-15
20.88,6.37110813430539e-15
21.68,6.93594270841549e-15
22.48,7.52933946562284e-15
23.29,8.15541708616109e-15
24.09,8.81035174089047e-15
24.89,9.50045083213206e-15
25.7,1.02240547663853e-14
26.5,1.09823340385753e-14
27.3,1.17834303391089e-14
28.11,1.26175521299411e-14
28.91,1.35098536198787e-14
29.71,1.44447221328821e-14
30.52,1.53788139854031e-14
31.32,1.64312736229096e-14
32.12,1.7582913317587e-14
32.92,1.88931613580354e-14
33.73,2.05204756473215e-14
34.53,2.26558135057651e-14
35.33,2.49730505924875e-14
36.14,2.72267123423955e-14
36.94,2.97181322366923e-14
37.74,3.2447840124985e-14
38.55,3.54267387521113e-14
39.35,3.86731543292132e-14
40.15,4.22055175959022e-14
40.95,4.43510606315558e-14
41.76,4.54432716924414e-14
42.56,4.65403207605269e-14
43.36,4.76416833906704e-14
44.17,4.87468029408819e-14
44.97,4.98561704307783e-14
45.77,5.09696100501218e-14
46.58,5.20865957224801e-14
47.38,5.32077201830174e-14
48.18,5.43324699079621e-14
48.98,5.54611324124559e-14
49.79,5.65927620433023e-14
50.59,5.78582042467888e-14
51.39,5.91808581375873e-14
52.2,6.05163959194848e-14
53.0,6.18615765141886e-14
53.8,6.32177894665979e-14
54.61,6.45881407625199e-14
55.41,6.59682247014119e-14
56.21,6.73601764552169e-14
57.02,6.87663992295669e-14
57.82,7.01833478118017e-14
58.62,7.1612446008479e-14
59.42,7.30552328277434e-14
60.23,7.45147446042547e-14
61.03,7.81647919348402e-14
61.83,8.20476291013135e-14
62.64,8.61868045030088e-14
63.44,9.06034148586436e-14
64.24,9.53268531867693e-14
65.05,1.00396019711989e-13
65.85,1.05839047540676e-13
66.65,1.11702942740774e-13
67.45,1.17654002292841e-13
68.26,1.24512158822665e-13
69.06,1.319595629886e-13
69.86,1.40077214477863e-13
70.67,1.4897244580452e-13
71.47,1.58733163441537e-13
72.27,1.69496132180446e-13
73.08,1.81434835417103e-13
73.88,1.94710986056807e-13
74.68,2.0957042986862e-13
75.48,2.26298694365269e-13
76.29,2.45274791438513e-13
77.09,2.6691145077841e-13
77.89,2.91826873369726e-13
78.7,3.20803719668675e-13
79.5,3.54793576759167e-13
80.3,3.95285074931048e-13
